compas_screening_date,S1,age,S2,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,decile_score_1,score_text,screening_date,v_decile_score,v_score_text,v_screening_date,in_custody,out_custody,priors_count_2,start,end,event,Class
20130318,1,31,0,0,5,0,1,15,-1,2.01303E+11,2.01307E+11,20130317,1,0,1,5,0,5,2,20130318,7,2,20130318,20130317,20130731,15,135,1077,1,inlier
20130120,1,30,3,0,7,0,0,0,0,2.01301E+11,2.01302E+11,20130120,0,1,0,5,0,7,2,20130120,3,1,20130120,20130120,20130212,0,23,1167,0,inlier
20130827,1,49,0,0,1,0,0,4,-1,2.01308E+11,2.01308E+11,20130826,1,1,0,5,0,1,1,20130827,1,1,20130827,20130826,20130827,4,0,948,0,inlier
20130528,1,53,2,0,5,0,0,8,-13,2.01305E+11,2.01305E+11,20130826,13,0,0,5,0,5,2,20130528,2,1,20130528,20130515,20130528,8,0,1039,0,inlier
20130211,1,35,0,0,3,0,0,5,-1,2.01302E+11,2.01302E+11,20130210,1,0,0,5,0,3,1,20130211,2,1,20130211,20130210,20130211,5,0,1145,0,inlier
20130108,1,62,3,0,1,0,0,0,0,2.01301E+11,2.01301E+11,20130107,1,1,0,2,0,1,1,20130108,1,1,20130108,20130108,20130108,0,0,1179,0,inlier
20140309,1,33,5,0,1,0,0,0,-1,2.01403E+11,2.01403E+11,20140308,1,1,0,5,0,1,1,20140309,1,1,20140309,20140308,20140309,0,0,754,0,inlier
20130928,0,56,0,0,1,0,0,0,0,2.01309E+11,2.0131E+11,20130927,1,1,0,5,0,1,1,20130928,1,1,20130928,20130928,20131001,0,3,916,0,inlier
20130525,1,22,3,0,4,0,0,1,-1,2.01305E+11,2.01305E+11,20130524,1,0,0,5,0,4,1,20130525,6,2,20130525,20130524,20130525,1,0,1042,0,inlier
20130307,1,39,0,0,4,0,0,1,-1,2.01303E+11,2.01303E+11,20130524,1,1,0,5,0,4,1,20130307,2,1,20130307,20130306,20130311,1,4,1121,0,inlier
20130717,1,40,0,0,2,0,0,2,-15,2.01307E+11,2.01307E+11,20130107,15,0,0,5,0,2,1,20130717,1,1,20130717,20130702,20130705,2,0,989,0,inlier
20130219,1,22,2,0,8,0,0,0,-1,2.01302E+11,2.01304E+11,20130218,1,0,0,4,0,8,0,20130219,6,2,20130219,20130503,20130524,0,57,73,0,inlier
20130304,1,32,0,0,2,0,0,0,-1,2.01303E+11,2.01303E+11,20130303,1,0,0,4,0,2,1,20130304,1,1,20130304,20130303,20130304,0,0,1124,0,inlier
20130228,1,41,0,0,2,0,0,1,-1,2.01302E+11,2.01303E+11,20130303,5185,1,0,4,0,2,1,20130228,2,1,20130228,20130227,20130301,1,1,1128,0,inlier
20130330,0,35,0,0,2,0,0,1,-1,2.01303E+11,2.01303E+11,20140116,1,1,0,4,0,2,1,20130330,1,1,20130330,20130329,20130330,1,0,1098,0,inlier
20130104,1,71,0,0,7,0,0,12,-1,2.01412E+11,2.01412E+11,20101023,804,1,0,2,0,7,2,20130104,3,1,20130104,20150717,20150719,12,0,1183,0,inlier
20131114,0,20,2,0,7,0,0,0,-1,2.01311E+11,2.01311E+11,20131113,1,0,0,2,0,7,2,20131114,8,0,20131114,20131113,20131114,0,0,869,0,inlier
20131106,1,66,2,0,1,0,0,3,-64,2.01309E+11,2.0131E+11,20130903,64,0,0,4,0,1,1,20131106,1,1,20131106,20130903,20131003,3,0,877,0,inlier
20130415,0,54,2,0,1,0,0,0,0,2.01304E+11,2.01304E+11,20130414,1,1,0,4,0,1,1,20130415,1,1,20130415,20130415,20130415,0,0,1082,0,inlier
20130820,0,44,3,0,1,0,0,0,-2,2.01308E+11,2.01308E+11,20130818,2,1,0,4,0,1,1,20130820,1,1,20130820,20130818,20130819,0,0,955,0,inlier
20140228,1,24,0,0,2,0,0,1,-137,2.0131E+11,2.01402E+11,20141104,137,0,0,4,0,2,1,20140228,3,1,20140228,20150716,20150716,1,0,503,0,inlier
20130909,1,30,0,0,2,0,0,1,-1,2.01309E+11,2.01309E+11,20130908,1,0,0,4,0,2,1,20130909,2,1,20130909,20130908,20130909,1,0,935,0,inlier
20130829,1,30,2,0,4,0,0,0,-1,2.01308E+11,2.01309E+11,20130828,1,0,0,2,0,4,1,20130829,2,1,20130829,20150108,20150204,0,5,497,0,inlier
20140221,1,31,2,0,5,0,0,0,-1,2.01402E+11,2.01403E+11,20140220,1,1,0,2,0,5,2,20140221,2,1,20140221,20140220,20140331,0,38,770,0,inlier
20130226,0,39,2,0,4,0,0,1,-1,2.01302E+11,2.01306E+11,20130225,1,0,0,2,0,4,1,20130226,3,1,20130226,20140325,20140330,1,106,392,0,inlier
20130815,1,43,2,0,1,0,0,1,-30,2.01307E+11,2.01307E+11,20130716,30,0,0,4,0,1,1,20130815,1,1,20130815,20130716,20130717,1,0,960,0,inlier
20130215,1,34,2,0,5,0,0,0,0,2.01302E+11,2.01303E+11,20130215,0,0,0,4,0,5,2,20130215,5,2,20130215,20140502,20140710,0,15,441,0,inlier
20131118,1,37,0,0,2,0,0,3,0,2.01311E+11,2.01311E+11,20131118,0,0,0,2,0,2,1,20131118,1,1,20131118,20140228,20140307,3,1,102,0,inlier
20131014,1,31,0,0,7,0,0,1,-1,2.0131E+11,2.0131E+11,20131013,1,1,0,1,0,7,2,20131014,8,0,20131014,20131013,20131014,1,0,900,0,inlier
20131029,0,30,5,0,2,0,0,1,-1,2.0131E+11,2.0131E+11,20131028,1,0,0,1,0,2,1,20131029,2,1,20131029,20140203,20140211,1,0,97,0,inlier
20131206,1,56,0,0,9,0,0,8,67,2.01402E+11,2.01405E+11,20141114,79,0,0,5,0,9,0,20131206,3,1,20131206,20140211,20140502,8,0,67,0,inlier
20130729,1,52,2,0,9,0,0,3,-2,2.01307E+11,2.01307E+11,20130727,2,1,0,5,0,9,0,20130729,6,2,20130729,20130727,20130728,3,0,977,0,inlier
20140331,0,64,2,0,1,0,0,2,-47,2.01402E+11,2.01402E+11,20140211,48,1,0,5,0,1,1,20140331,1,1,20140331,20140212,20140212,2,0,732,0,inlier
20130917,1,42,2,0,3,0,0,6,-4,2.01309E+11,2.01309E+11,20130912,5,0,0,4,0,3,1,20130917,1,1,20130917,20141030,20150124,6,0,408,0,inlier
20131223,0,25,2,0,4,0,0,2,-1,2.01312E+11,2.01312E+11,20130912,1,0,0,4,0,4,1,20131223,5,2,20131223,20141217,20150107,2,2,359,0,inlier
20131119,1,30,2,0,2,0,0,1,-20,2.0131E+11,2.01311E+11,20131030,20,1,0,4,0,2,1,20131119,2,1,20131119,20131030,20131103,1,0,864,0,inlier
20130829,1,28,2,0,1,0,0,2,-20,2.0131E+11,2.01311E+11,20131030,161,0,0,4,0,1,1,20130829,2,1,20130829,20131030,20131103,2,0,946,0,inlier
20131230,0,37,5,0,2,0,0,2,-1,2.01312E+11,2.01312E+11,20130522,222,1,0,4,0,2,1,20131230,1,1,20131230,20131229,20131231,2,1,823,0,inlier
20140207,0,24,0,0,2,0,0,0,-1,2.01402E+11,2.01402E+11,20140206,1,1,0,2,0,2,1,20140207,3,1,20140207,20140206,20140208,0,1,784,0,inlier
20130117,1,31,0,0,2,0,0,1,-1,2.01301E+11,2.01301E+11,20130116,1,1,1,5,0,2,1,20130117,3,1,20130117,20130116,20130117,1,0,1140,1,inlier
20130424,0,45,2,0,4,0,0,4,-1,2.01304E+11,2.01304E+11,20130401,375,0,0,4,0,4,1,20130424,3,1,20130424,20140226,20140422,4,0,1073,0,inlier
20131120,0,20,0,1,10,0,0,1,0,2.01311E+11,2.01311E+11,20130401,0,0,0,4,0,10,0,20131120,10,0,20131120,20140319,20140328,1,3,119,0,inlier
20130514,0,43,2,0,1,0,0,0,0,2.01305E+11,2.01305E+11,20130514,0,1,0,4,0,1,1,20130514,1,1,20130514,20130514,20130515,0,1,1053,0,inlier
20131207,0,20,0,0,6,0,0,0,0,2.01312E+11,2.01312E+11,20131206,1,0,0,5,0,6,2,20131207,8,0,20131207,20131207,20131207,0,0,846,0,inlier
20140127,0,26,2,0,6,0,0,0,-2,2.01401E+11,2.01401E+11,20140125,2,1,0,5,0,6,2,20140127,3,1,20140127,20140125,20140126,0,0,795,0,inlier
20140205,1,63,3,0,1,0,0,1,-26,2.01401E+11,2.01401E+11,20130514,26,0,0,2,0,1,1,20140205,1,1,20140205,20140110,20140125,1,0,786,0,inlier
20130906,1,29,3,0,4,0,0,1,-1,2.01309E+11,2.01309E+11,20130905,1,0,0,5,0,4,1,20130906,4,1,20130906,20130905,20130906,1,0,938,0,inlier
20130110,0,46,5,0,2,0,0,1,-1,2.01309E+11,2.01309E+11,20121030,72,0,0,5,0,2,1,20130110,1,1,20130110,20130905,20130906,1,0,1177,0,inlier
20130627,1,55,0,0,1,0,0,3,-51,2.01305E+11,2.01305E+11,20130506,52,1,0,2,0,1,1,20130627,1,1,20130627,20130507,20130508,3,0,1009,0,inlier
20140211,1,39,2,1,4,0,0,1,-1,2.01402E+11,2.01402E+11,20090715,1672,1,0,2,0,4,1,20140211,4,1,20140211,20140210,20140214,1,3,780,0,inlier
20130302,1,30,0,0,7,0,0,1,0,2.01303E+11,2.01305E+11,20130301,1,0,0,5,0,7,2,20130302,8,0,20130302,20140304,20140307,1,70,367,0,inlier
20130926,1,48,2,0,2,0,0,2,-1,2.01309E+11,2.01309E+11,20130925,1,1,0,5,0,2,1,20130926,1,1,20130926,20130925,20130926,2,0,918,0,inlier
20130516,1,22,0,0,2,0,0,1,-1,2.01305E+11,2.01305E+11,20130925,1,0,0,5,0,2,1,20130516,4,1,20130516,20141114,20150521,1,0,547,0,inlier
20140319,0,49,2,0,6,0,0,6,-56,2.01401E+11,2.01401E+11,20140122,56,0,0,5,0,6,2,20140319,2,1,20140319,20140122,20140127,6,0,744,0,inlier
20130420,1,31,2,0,5,0,0,0,0,2.01304E+11,2.01304E+11,20130419,1,0,0,5,0,5,2,20130420,4,1,20130420,20150409,20150529,0,2,719,0,inlier
20130909,1,23,3,0,3,0,0,0,-1,2.01309E+11,2.01309E+11,20130907,2,0,0,4,0,3,1,20130909,5,2,20130909,20130908,20130908,0,0,935,0,inlier
20130218,0,32,0,0,7,0,0,5,-1,2.01302E+11,2.01302E+11,20130217,1,0,0,4,0,7,2,20130218,3,1,20130218,20130217,20130218,5,0,1138,0,inlier
20130305,1,52,3,0,1,0,0,2,-1,2.01303E+11,2.01303E+11,20130304,1,1,0,4,0,1,1,20130305,1,1,20130305,20130621,20130726,2,2,108,0,inlier
20130205,1,62,0,0,4,0,0,8,0,2.01302E+11,2.01302E+11,20130204,1,0,0,4,0,4,1,20130205,1,1,20130205,20130205,20130221,8,16,1151,0,inlier
20130422,0,37,2,0,10,0,0,6,-110,2.01301E+11,2.01304E+11,20130101,111,0,0,4,0,10,0,20130422,4,1,20130422,20140613,20141218,6,0,417,0,inlier
20130910,1,55,2,0,1,0,0,1,-45,2.01307E+11,2.01308E+11,20130727,45,0,0,4,0,1,1,20130910,1,1,20130910,20130727,20130814,1,0,934,0,inlier
20130829,1,54,3,0,1,0,0,2,-1,2.01308E+11,2.01403E+11,20130828,1,0,0,2,0,1,1,20130829,1,1,20130829,20130828,20140304,2,187,946,0,inlier
20130314,1,58,3,0,2,0,0,0,-1,2.01303E+11,2.01303E+11,20130313,1,0,0,2,0,2,1,20130314,1,1,20130314,20140110,20140328,0,0,302,0,inlier
20140303,1,56,2,0,1,0,0,0,-1,2.01403E+11,2.01403E+11,20140302,1,0,0,4,0,1,1,20140303,1,1,20140303,20140302,20140303,0,0,760,0,inlier
20140114,1,24,5,0,2,0,0,0,-1,2.01401E+11,2.01401E+11,20140113,1,0,0,4,0,2,1,20140114,4,1,20140114,20140113,20140115,0,1,808,0,inlier
20131025,1,57,3,0,1,0,0,1,0,2.0131E+11,2.01311E+11,20131025,0,0,0,4,0,1,1,20131025,1,1,20131025,20131025,20131114,1,20,889,0,inlier
20130611,1,66,0,0,1,0,0,3,-10,2.01306E+11,2.01306E+11,20130601,10,0,1,4,1,1,1,20130611,1,1,20130611,20130601,20130603,3,0,943,1,inlier
20130201,1,45,2,0,3,0,0,2,-1,2.01301E+11,2.01401E+11,20130131,1,0,0,1,0,3,1,20130201,4,1,20130201,20130131,20140125,2,358,1155,0,inlier
20140131,1,34,0,0,2,0,0,2,0,2.01401E+11,2.01402E+11,20140130,1,1,1,2,0,2,1,20140131,1,1,20140131,20160228,20160322,2,26,758,1,inlier
20130821,0,23,0,0,4,0,0,1,-1,2.01308E+11,2.01308E+11,20130820,1,1,0,1,0,4,1,20130821,4,1,20130821,20130820,20130821,1,0,954,0,inlier
20130916,1,50,2,0,1,0,0,1,-4,2.01309E+11,2.01309E+11,20130912,4,0,0,2,0,1,1,20130916,1,1,20130916,20160212,20160213,1,0,879,0,inlier
20131108,0,37,2,0,3,0,0,0,-1,2.01311E+11,2.01311E+11,20131107,1,1,0,2,0,3,1,20131108,1,1,20131108,20131107,20131107,0,0,875,0,inlier
20130106,1,44,2,0,4,0,0,4,0,2.01301E+11,2.01301E+11,20130106,0,1,0,2,0,4,1,20130106,4,1,20130106,20130106,20130107,4,1,1181,0,inlier
20130326,1,27,0,0,2,0,0,0,-1,2.01303E+11,2.01303E+11,20130325,1,1,0,4,0,2,1,20130326,3,1,20130326,20130325,20130328,0,2,1102,0,inlier
20131029,0,28,0,0,8,0,0,0,0,2.0131E+11,2.01311E+11,20131028,1,0,0,4,0,8,0,20131029,6,2,20131029,20131029,20131127,0,29,885,0,inlier
20130320,1,38,0,0,1,0,0,2,-1,2.01303E+11,2.01303E+11,20130319,1,0,0,5,0,1,1,20130320,1,1,20130320,20130520,20130520,2,0,61,0,inlier
20140226,1,27,2,0,4,0,0,2,-36,2.01401E+11,2.01402E+11,20140121,36,1,0,5,0,4,1,20140226,3,1,20140226,20140121,20140226,2,0,765,0,inlier
20130102,0,28,0,0,9,0,0,1,-1,2.01301E+11,2.01302E+11,20140121,1,0,0,5,0,9,0,20130102,7,2,20130102,20150610,20150828,1,38,889,0,inlier
20130219,1,38,0,0,9,0,0,15,-1,2.01302E+11,2.01302E+11,20130218,1,0,0,4,0,9,0,20130219,3,1,20130219,20130218,20130220,15,1,1137,0,inlier
20131031,1,28,0,0,5,0,0,2,-1,2.0131E+11,2.0131E+11,20071215,2147,1,0,4,0,5,2,20131031,4,1,20131031,20131030,20131031,2,0,883,0,inlier
20130110,1,45,0,0,6,0,0,3,104,2.01304E+11,2.01311E+11,20071215,23,0,0,4,0,6,2,20130110,4,1,20130110,20130424,20131129,3,0,104,0,inlier
20130104,1,28,3,0,2,0,0,0,104,2.01304E+11,2.01311E+11,20121230,5,1,0,4,0,2,1,20130104,3,1,20130104,20130424,20131129,0,0,1183,0,inlier
20130320,1,61,2,0,1,0,0,1,-34,2.01302E+11,2.01302E+11,20121230,34,0,0,4,0,1,1,20130320,1,1,20130320,20130214,20130215,1,0,1108,0,inlier
20131031,1,51,2,0,2,0,0,0,-1,2.0131E+11,2.0131E+11,20131030,1,1,0,5,0,2,1,20131031,2,1,20131031,20131030,20131031,0,0,883,0,inlier
20130113,1,48,0,0,1,0,0,0,-1,2.01301E+11,2.01301E+11,20130112,1,0,0,5,0,1,1,20130113,1,1,20130113,20130112,20130113,0,0,1174,0,inlier
20130513,0,30,0,0,7,0,0,2,-1,2.01305E+11,2.01305E+11,20130512,1,0,0,2,0,7,2,20130513,4,1,20130513,20130512,20130515,2,2,1054,0,inlier
20131105,0,41,0,0,6,0,0,5,0,2.01311E+11,2.01311E+11,20131104,1,1,0,2,0,6,2,20131105,3,1,20131105,20131105,20131105,5,0,878,0,inlier
20130217,1,37,0,0,1,0,0,0,-1,2.01302E+11,2.01302E+11,20130216,1,1,1,4,1,1,1,20130217,1,1,20130217,20150707,20150720,0,1,870,1,inlier
20130507,1,54,0,0,9,0,0,11,-1,2.01305E+11,2.01309E+11,20130506,1,0,0,5,0,9,0,20130507,9,0,20130507,20130506,20130913,11,129,1060,0,inlier
20130509,1,23,0,0,9,0,0,2,-1,2.01305E+11,2.01307E+11,20130508,1,0,0,5,0,9,0,20130509,5,2,20130509,20130508,20130719,2,71,1058,0,inlier
20140125,1,41,0,0,1,0,0,0,0,2.01401E+11,2.01401E+11,20140125,0,1,0,2,0,1,1,20140125,1,1,20140125,20140125,20140126,0,1,797,0,inlier
20130516,1,52,2,0,1,0,0,0,-1,2.01305E+11,2.01305E+11,20130515,1,0,0,2,0,1,1,20130516,1,1,20130516,20130515,20130516,0,0,1051,0,inlier
20140204,1,52,0,0,4,0,0,0,-1,2.01402E+11,2.01402E+11,20140203,1,0,0,4,0,4,1,20140204,3,1,20140204,20140203,20140217,0,13,787,0,inlier
20130517,1,28,2,0,1,0,0,1,-3,2.01305E+11,2.01305E+11,20140203,3,0,0,4,0,1,1,20130517,2,1,20130517,20130514,20130517,1,0,1050,0,inlier
20130927,1,28,2,0,5,0,0,1,0,2.01309E+11,2.0131E+11,20130927,0,0,0,1,0,5,2,20130927,3,1,20130927,20130927,20131003,1,6,917,0,inlier
20130222,1,22,0,0,4,0,0,0,-1,2.01302E+11,2.01302E+11,20130221,1,0,0,1,0,4,1,20130222,6,2,20130222,20130221,20130222,0,0,1134,0,inlier
20130305,1,30,0,0,2,0,0,4,0,2.01303E+11,2.01303E+11,20130305,0,0,0,1,0,2,1,20130305,2,1,20130305,20130305,20130305,4,0,1123,0,inlier
20131103,1,25,3,0,4,0,0,4,0,2.01311E+11,2.01311E+11,20131103,0,0,0,1,0,4,1,20131103,4,1,20131103,20131103,20131104,4,1,880,0,inlier
20131217,1,32,0,0,9,1,0,14,-1,2.01312E+11,2.01312E+11,20131216,1,0,0,2,0,9,0,20131217,8,0,20131217,20131216,20131217,14,0,836,0,inlier
20130911,1,26,0,0,8,1,0,4,649,2.01506E+11,2.01509E+11,20090602,1562,1,0,2,0,8,0,20130911,6,2,20130911,20150622,20150906,4,0,649,0,inlier
20130116,1,53,2,0,1,0,0,1,-1,2.01301E+11,2.01301E+11,20130115,1,1,0,2,0,1,1,20130116,1,1,20130116,20130115,20130116,1,0,1171,0,inlier
20130906,1,25,0,0,3,0,0,0,0,2.01309E+11,2.01309E+11,20130905,1,0,0,2,0,3,1,20130906,4,1,20130906,20130906,20130906,0,0,938,0,inlier
20131209,0,37,5,0,1,0,0,0,-1,2.01312E+11,2.01312E+11,20131207,2,1,0,4,0,1,1,20131209,1,1,20131209,20131208,20131209,0,0,844,0,inlier
20131023,0,40,5,0,2,0,0,3,-1,2.0131E+11,2.0131E+11,20131022,1,0,0,4,0,2,1,20131023,1,1,20131023,20131022,20131023,3,0,891,0,inlier
20140212,1,30,2,0,2,0,0,4,-140,2.01309E+11,2.01311E+11,20130925,140,0,0,5,0,2,1,20140212,2,1,20140212,20130925,20131126,4,0,779,0,inlier
20130309,0,31,3,0,2,0,0,0,-1,2.01303E+11,2.01303E+11,20130308,1,1,0,2,0,2,1,20130309,2,1,20130309,20130308,20130309,0,0,1119,0,inlier
20130204,1,24,3,0,8,0,0,0,-3,2.01302E+11,2.01302E+11,20130201,3,1,0,2,0,8,0,20130204,7,2,20130204,20130201,20130202,0,0,1152,0,inlier
20140401,1,29,0,0,3,0,0,1,-1,2.01403E+11,2.01404E+11,20140331,1,1,0,2,0,3,1,20140401,3,1,20140401,20140331,20140401,1,0,731,0,inlier
20130312,1,39,5,0,1,0,0,0,-1,2.01303E+11,2.01303E+11,20130311,1,0,0,2,0,1,1,20130312,1,1,20130312,20131002,20131003,0,0,204,0,inlier
20130807,1,27,0,0,4,0,0,4,-1,2.01308E+11,2.01308E+11,20130311,1,0,0,2,0,4,1,20130807,4,1,20130807,20150708,20150721,4,0,700,0,inlier
20130716,1,31,2,0,4,0,0,2,812,2.0151E+11,2.0151E+11,20130311,1016,1,1,2,0,4,1,20130716,3,1,20130716,20151006,20151017,2,0,812,1,inlier
20131203,0,37,0,0,1,0,0,2,0,2.01312E+11,2.01312E+11,20130311,0,0,0,5,0,1,1,20131203,1,1,20131203,20140923,20141007,2,1,294,0,inlier
20140219,1,20,0,0,8,0,0,0,-1,2.01402E+11,2.01402E+11,20140218,1,0,0,5,0,8,0,20140219,6,2,20140219,20140218,20140221,0,2,772,0,inlier
20130420,1,22,3,0,7,0,1,0,0,2.01304E+11,2.01304E+11,20130420,0,0,0,5,0,7,2,20130420,6,2,20130420,20130625,20130702,0,2,66,0,inlier
20130802,0,52,0,0,1,0,0,0,-1,2.01308E+11,2.01308E+11,20130801,1,0,0,5,0,1,1,20130802,1,1,20130802,20130801,20130802,0,0,973,0,inlier
20131113,0,48,0,0,2,0,0,0,-1,2.01311E+11,2.01311E+11,20131112,1,0,0,5,0,2,1,20131113,3,1,20131113,20131112,20131114,0,1,870,0,inlier
20130420,1,25,2,0,5,0,0,0,0,2.01304E+11,2.01304E+11,20130419,1,0,0,2,0,5,2,20130420,4,1,20130420,20140410,20140415,0,0,355,0,inlier
20131231,0,22,2,0,3,0,0,1,-1,2.01312E+11,2.01312E+11,20131230,1,0,0,2,0,3,1,20131231,4,1,20131231,20131230,20131231,1,0,822,0,inlier
20140124,1,35,0,0,10,0,0,2,-1,2.01312E+11,2.01312E+11,20131230,1,0,0,2,0,10,0,20140124,8,0,20140124,20040616,20050304,2,0,798,0,inlier
20130906,1,32,2,0,4,0,0,2,-232,2.01301E+11,2.01302E+11,20131230,232,0,0,2,0,4,1,20130906,4,1,20130906,20130117,20130226,2,0,938,0,inlier
20130805,0,41,0,0,3,0,0,2,-1,2.01308E+11,2.01308E+11,20130804,1,1,0,2,0,3,1,20130805,1,1,20130805,20130804,20130805,2,0,970,0,inlier
20140129,0,25,5,0,2,0,0,0,-1,2.01401E+11,2.01401E+11,20140128,1,0,0,2,0,2,1,20140129,3,1,20140129,20140128,20140129,0,0,793,0,inlier
20130411,1,44,0,0,7,0,0,24,53,2.01306E+11,2.01309E+11,20130311,31,1,0,2,0,7,2,20130411,3,1,20130411,20130603,20130929,24,0,53,0,inlier
20130405,1,43,0,0,1,0,0,0,-1,2.01304E+11,2.01305E+11,20130404,1,0,0,1,0,1,1,20130405,1,1,20130405,20130404,20130515,0,40,1092,0,inlier
20140305,1,37,2,0,1,0,0,3,-4,2.01403E+11,2.01403E+11,20130404,4,0,0,1,0,1,1,20140305,1,1,20140305,20140301,20140304,3,0,758,0,inlier
20130418,1,70,2,0,1,0,0,1,-13,2.01304E+11,2.01304E+11,20130405,13,1,0,2,0,1,1,20130418,1,1,20130418,20130405,20130418,1,0,1079,0,inlier
20130501,1,46,2,0,4,0,0,3,-1,2.01304E+11,2.01305E+11,20130813,1,0,0,5,0,4,1,20130501,2,1,20130501,20130430,20130514,3,13,1066,0,inlier
20140120,1,34,2,0,4,0,0,5,-1,2.01401E+11,2.01401E+11,20140119,1,1,0,4,0,4,1,20140120,4,1,20140120,20140119,20140120,5,0,802,0,inlier
